0,"There was a thick film of dust on every exposed surface; rubbish and the carcass of some small animal had liecn swept carelessly into a corner."
0,"There's nothing under here except a large amount of mineral salts and other rubbish that's no use to us."
0,"I dropped the satin rubbish on the floor, because it could only hamper me."
0,"Like a man possessed he hurried around the room, tumbling rubbish and papers into piles and igniting them with his pocket lighter."
0,"Rubbish and offal filled the corners."
0,"A rock crashed off the rearview window and for an instant a hail of rubbish banged and clattered."
0,"I've got a small flashlight and we grope through a pile of rubbish, out into a corridor."
0,"He was hungry now as he walked through the alley, his eyes shifting lusterlessly from one heap of rubbish to the next."
0,"Cold morning wind whipped around the rubbish that littered the deserted inter-system field at the rim of the syndrome."
0,"They adjourned with an order strictly forbidding suburbanite burning of rubbish."
0,"But your clothes have been cleaned off the field along with all the rubbish of our shriek; the officials are already preparing for the next one."
0,"Overgrown with trees and smothering in its own dust, it was hardly more than a centuries-old rubbish heap now."
0,"And the winds swept away from the picture the rubbish, the shovel and many of the objects."
0,"The garbage collector passed slowly along it every hour, collecting all the rubbish that chanced to be there."
0,"I put everything down and poked assiduously in the rubbish in back with the broomstick handle and even lit a fire with some of the litter I found outside, thrusting burning stuff into the back of the cave in several places."
0,"I scrambled up the slope outside, trying not to touch anything in the rubbish."
0,"The intense, yellow-white light stared pitilessly down on a gently swelling floor of seawater, out of which rose, to the right of where the plane sat in the shallows, a derelict pile of rubbish reaching roughly a third of the way to the roof."
0,"The most important precaution is to remove and reduce trash and rubbish from your property,"
0,"Don't bury rubbish like cans, plastic bottles or broken glass. It is often dug out by native animals and may harm them."
0,"The mice had their own society, using rubbish thrown away by humans."
0,"Because of this, in 1532 a Stannary Court decree ordained that all rubbish should be deposited in old Hatches, Tipittes, miry Places, or other convenient Places away from the main streams."
0,"Today the old nir looks half-abandoned and out of place in its current setting, with broken down cars parked haphazardly and rubbish lying around."
0,"The fine or punishment is normally defined by the local council that operates in the local area that the rubbish was dumped in."
0,"Around four fifths of oceanic debris is from rubbish blown onto the water from landfills, and urban runoff."
0,"Moreover, with recent increases in tourism on the island, new sources of hard rubbish have begun to appear."
1,"Wendy wouldn't be sucked in by a load of specious rubbish spouted by a cracked demagogue hungry for martyrdom."
1,"'Oh, let's Stop talking rubbish,' she cried."
1,"There Is an awful lot of rubbish published."
1,"'You talk rubbish, old man,' the young man said, but he sounded uneasy."
1,"'You believed all that rubbish you told Tylo about what the Federation really wants, didn't you?'"
1,"The words, the history books, the ideas, the science -- Underhill could sense all that in his own mind, reflected back from Captain Wow's mind, as so much rubbish."
1,"What kind of rubbish have you been reading?'"
1,"I'm talking sense and rubbish at the same time."
1,"Good riddance to childish rubbish."
1,"Now there's been so much rubbish written about how Ben's vaccine is either the world's worst disaster or else its greatest hope that I thought I'd wind this up by telling what really happened down here."
1,"'Your confession is the biggest pile of rubbish I've read in my life."
1,"All he did was mutter, 'That golden shape on the golden steps, that music, that me is a true me, that golden shape, that golden shape, I want to be with that golden shape,' and rubbish like that."
1,"'She's talking rubbish,' I said, but already a few voices in the crowd shouted that she was merely spreading rumor."
1,"To Colonel Smith's question about the possibility of an 'overkill' if such and such size bomb dropped on such and such enemy city the answer came back, 'Rubbish."
1,"Our sense of humour and perception of what's good and what's rubbish are uncommonly in tune."
1,"She criticised stories in the magazine as absolute rubbish and ridiculously alarmist."
1,"Using his Twitter account, he derided the language as being an old, unadaptive language with relatively few words for things and Gaelic poetry as basically doggerel and and mainly a bit of rubbish."
1,"She described the psychoanalyzing of dogs as a lot of rubbish."
1,"After the performance he declared'' Such rubbish should never have been written''"
1,"But this new book is wretched; a high-varnished preface to a heap of rubbish, in a very vulgar style, and too void of method even for such a farrago."
1,"I am not going to write any more of that bloody rubbish with those idiots."
1,"However, its production at the Metropolitan Opera in New York City in 1890 inspired dismal reviews, with one spectator commenting that its music was simply rubbish."
1,"Judge Hlophe was reported to have rejected the allegations as utter rubbish and as another ploy to damage his reputation."
1,"In October 2007, Bald expressed a desire to leave Celtic stating I don't want to be at a club where I am not wanted, but I want to make clear it is rubbish to say I am just taking the money."
1,"Intelligent design should be viewed as a ground-clearing operation that gets rid of the intellectual rubbish that for generations has kept Christianity from receiving serious consideration."
0,"The streets were littered with rubbish after the parade."
0,"Please dispose of your rubbish in the designated bins."
0,"The smell of rubbish wafted through the air on hot summer days."
0,"The beach was marred by the presence of scattered rubbish."
0,"He cleaned out the garage, throwing away years of accumulated rubbish."
0,"The overflowing rubbish bin attracted swarms of flies."
0,"Recycling helps reduce the amount of rubbish in landfills."
0,"The city implemented strict penalties for improper rubbish disposal."
0,"Tourists were reminded to respect the environment and not leave rubbish behind."
0,"A stray dog rummaged through the rubbish in search of food."
0,"The neighborhood organized a clean-up day to eliminate rubbish from public spaces."
0,"The children created art from recycled rubbish for a school project."
0,"The park was pristine, thanks to the efforts of volunteers picking up rubbish."
0,"The bin men came weekly to collect household rubbish."
0,"Rats were attracted to the piles of rubbish in the alley."
0,"The smell of burning rubbish lingered in the air."
0,"Environmentalists campaigned for the reduction of single-use plastics to minimize rubbish."
0,"The landfill was a vast expanse of discarded rubbish."
0,"A strong wind scattered rubbish across the empty lot."
0,"Residents were encouraged to compost organic waste to reduce rubbish volume."
0,"The park had signs urging visitors to dispose of their rubbish responsibly."
0,"The landfill site was reaching its capacity due to an increase in household rubbish."
0,"The riverbanks were polluted with floating rubbish."
0,"The council provided educational programs to raise awareness about proper rubbish disposal."
0,"The rubbish truck made its rounds, collecting bins from every household."
0,"Overflowing rubbish bins were a common sight during the summer festival."
0,"Seagulls scavenged for food among the piles of rubbish near the harbor."
0,"The campaign aimed to teach children the importance of not littering rubbish."
0,"A diligent janitor swept the streets, collecting rubbish left behind by careless pedestrians."
0,"The construction site was filled with discarded materials and construction rubbish."
